lat,lng,red,green
37.51255874,126.9309884,96,34
37.48601807,126.9691465,123,27
37.48853714,126.9066374,144,26
37.48830386,126.907637,72,27
37.48884933,126.9067419,126,45
37.48853714,126.9066374,126,45
37.48853714,126.9066374,153,47
37.48830386,126.9076619,72,27
37.49813971,126.9202183,144,35
37.49846478,126.9205327,109,34
37.49961665,126.9242845,40,22
37.498742,126.9205961,154,36
37.48260194,126.9650863,60,20
37.48733169,126.9112114,22,22
37.48772774,126.9123718,23,28
37.48734273,126.9744051,52,38
37.486819,126.974243,56,34
37.4951109,126.9568992,34,22
37.49991005,126.9204894,149,32
37.50007456,126.9226807,108,32
37.51223122,126.9257699,117,32
37.50007456,126.9226922,108,32
37.500154,126.9205693,145,35
37.51223122,126.9257699,116,34
37.49996051,126.928376,116,26
37.498445,126.9205327,109,34
37.49752877,126.9529285,104,36
37.49843638,126.9283123,113,27
37.49840241,126.9283123,113,27
37.49996051,126.928376,63,30
37.50868086,126.932396,82,37
37.50929078,126.9242009,138,34
37.50894901,126.9323163,82,38
37.49964623,126.923903,60,22
37.49964623,126.9239192,110,34
37.49722997,126.9524045,104,36
37.49756126,126.9529285,104,36
37.49999501,126.9254578,108,31
37.49992131,126.9254542,108,31
37.50929078,126.924271,138,34
37.5089331,126.9323686,82,38
37.50885647,126.9319968,82,37
37.51149648,126.9321189,98,21
37.5114986,126.9321692,88,33
37.51223122,126.9257699,111,36
37.49900025,126.9517056,80,48
37.48419216,126.9774055,110,41
37.49905332,126.9443329,132,41
37.50155123,126.9454008,31,23
37.50320805,126.9477004,98,37
37.50357997,126.9476864,144,25
37.50763053,126.9495436,70,54
37.50119217,126.9490238,129,50
37.49856272,126.9510476,80,48
37.49037497,126.9080767,105,62
37.50609607,126.9230631,125,45
37.50382839,126.9221809,128,32
37.50393646,126.922235,120,40
37.504237,126.9222632,128,32
37.4951109,126.956887,34,22
37.49518192,126.9564432,34,22
37.49783816,126.9526679,93,36
37.49913197,126.9842668,128,24
37.51295297,126.9289275,123,37
37.48746081,126.9083784,80,22
37.48698415,126.9098719,23,20
37.48773219,126.9127875,23,28
37.486822,126.9675717,103,27
37.48344069,126.9742083,102,28
37.50495881,126.9445741,123,25
37.50495881,126.9445399,123,25
37.50480923,126.9459079,122,26
37.48576345,126.9688211,131,21
37.48576345,126.968865,131,21
37.50481595,126.9459079,122,26
37.50124684,126.9335563,123,31
37.50127304,126.9335563,123,31
37.48613645,126.9749698,52,38
37.50934249,126.9627792,81,30
37.50481838,126.9464204,123,27
37.50482254,126.946453,123,27
37.49965186,126.9305463,125,25
37.499747,126.9319148,124,23
37.49960465,126.9305433,125,25
37.49524877,126.9429113,125,27
37.49414928,126.9110974,128,41
37.5049713,126.9415132,129,25
37.50402496,126.9497127,127,43
37.49524877,126.9429113,128,22
37.50517405,126.9396357,128,30
37.50510011,126.9387809,128,30
37.50370277,126.9220128,128,33
37.50370277,126.9220128,126,33
37.49560363,126.942656,128,23
37.49560363,126.9426134,128,23
37.50179023,126.9455688,129,30
37.50478723,126.9397359,140,30
37.48681396,126.9675717,103,27
37.50459169,126.9507682,80,16
37.5049409,126.9388305,133,25
37.49560363,126.9426134,132,19
37.48493526,126.969845,123,27
37.49560363,126.942639,132,19
37.50402709,126.937858,130,28
37.50403934,126.937894,130,28
37.51160168,126.940082,132,27
37.51160168,126.9400300405,133,27
37.50441558,126.9394112,133,25
37.50287836,126.9474901,134,36
37.50316722,126.9472834,134,36
37.49878775,126.9436800196,142,28
37.49683535,126.9180932,144,38
37.49677579,126.9165403,140,40
37.50393646,126.9222354,120,40
37.49964623,126.9239671,108,32
37.49991005,126.9204894,145,35
37.50357997,126.947626,144,25
37.49638737,126.9141577,147,31
37.490322,126.9223202,110,45
37.49271686,126.9582187,110,38
37.49946331,126.9278966,123,28
37.50865619,126.9323335,82,37
37.49581433,126.9540602,118,40
37.48746081,126.9083784,94,21
37.48698415,126.9098719,80,22
37.48493526,126.9698956,123,27
37.48733169,126.911223,95,22
37.47691752,126.9775003,86,37
37.488573,126.906693,173,27
37.51176046,126.9317706,88,33
37.48963929,126.971543,27,24
37.50763053,126.9495436,68,54
37.49411971,126.9110974,128,42
37.49911713,126.9842668,128,24
37.50469891,126.9462225,26,18
37.50460556,126.9462251,26,18
37.4946854,126.9593032,33,23
37.49457509,126.9605651,107,23
37.49638737,126.914115,131,32
37.5114468,126.9321692,98,21
37.49815172,126.9530811,30,25
37.49810133,126.9530811,30,25
37.499747,126.9319148,30,27
37.49547571,126.954642,113,28
37.48773219,126.912769,23,28
37.504257,126.9222632,128,32
37.49833664,126.9530072,32,23
37.49871728,126.9205961,155,35
37.49677579,126.9165403,146,44
37.51006787,126.939973,30,29
37.510077,126.939973,30,29
37.49783816,126.9526679,94,36
37.4977799,126.953294,32,23
37.49775984,126.953294,32,23
37.49527344,126.9116542,129,41
37.49037497,126.9080767,106,61
37.488893,126.906718,107,45
37.4866673,126.9049704,135,62
37.4866673,126.9049704,137,63
37.50279545,126.9476454,99,48
37.50295034,126.9482621,150,18
37.502799,126.9477266,159,19
37.49683535,126.9180932,143,37
37.51104259,126.9264555,96,20
37.51106239,126.9264221,96,20
37.51087166,126.9267292,73,20
37.50973084,126.9259178,51,24
37.50119217,126.9490238,83,49
37.49271686,126.9582187,110,40
37.49217586,126.9242713,95,35
37.49238847,126.925359,95,35
37.50763053,126.9495436,85,30
37.50751939,126.947767,88,30
37.48291388,126.9738508,107,23
37.50270223,126.947785,159,19
37.51374292,126.940012,108,32
37.51300948,126.9310925,129,30
37.51300948,126.9310925,129,31
37.513066,126.9310925,129,31
37.51275771,126.9340267,129,31
37.513353,126.9387822,100,40
37.498301,126.9433807,37,27
37.513392,126.9387822,100,40
37.51332646,126.9387822,100,40
37.51361148,126.9388405,100,40
37.51403379,126.9439791,110,29
37.51405722,126.9445447,111,31
37.51405722,126.9445328,109,31
37.51367441,126.944582,109,31
37.51340714,126.9439576,48,25
37.51365637,126.9445505,109,31
37.51340714,126.9439576,110,29
37.51257567,126.950778,100,40
37.51296888,126.950757,100,40
37.51296888,126.950757,110,30
37.51296888,126.9507891,110,30
37.51262307,126.9495107,100,40
37.498373,126.9433807,34,27
37.48128804,126.9815099,178,43
37.482811,126.9815544,130,35
37.50673118,126.939972,36,24
37.48284909,126.9815544,176,45
37.48284909,126.9815544,130,35
37.48285623,126.9815544,130,35
37.48651024,126.9819255,147,42
37.48566776,126.9816748,149,41
37.4855434,126.9815469,147,42
37.50934249,126.9627792,141,49
37.48009723,126.9814141,170,50
37.48122955,126.9815099,178,44
37.50673118,126.9399843,36,24
37.48799385,126.9819445,142,45
37.48798039,126.9819445,142,45
37.48792856,126.9819445,142,45
37.49076719,126.9822599,148,43
37.49077357,126.9822599,149,36
37.49078027,126.9822599,149,36
37.50115097,126.9415621,40,25
37.49112499,126.9822872,149,36
37.50119846,126.9415621,40,25
37.49352528,126.9823534,145,40
37.49352528,126.9823534,144,47
37.49357124,126.9823534,144,47
37.49367007,126.9823614,144,46
37.49774536,126.9831928,130,60
37.49978543,126.9427333,40,28
37.50302948,126.9363431,40,30
37.50307667,126.9363053,40,30
37.49940448,126.944064,132,41
37.4950752,126.9271545,25,115
37.49509297,126.9271545,25,115
37.50885618,126.931966,82,37
37.50253458,126.954541,45,20
37.50121354,126.9534311,45,20
37.50302518,126.9397593,46,22
37.48747907,126.9753132,46,42
37.51247722,126.9519307,30,25
37.48734273,126.9744051,46,42
37.48825931,126.9751885,46,42
37.48772359,126.9754465,46,42
37.493075,126.9243325,92,37
37.493075,126.9243325,90,38
37.49638737,126.9141621,49,24
37.49257855,126.9236102,92,37
37.50564716,126.9665721,70,32
37.50863109,126.928285,47,23
37.50659905,126.9665166,75,25
37.5073433,126.9665618,139,40
37.50659905,126.9665166,76,32
37.476828,126.9815951,177,44
37.47652283,126.9814089,128,46
37.47652283,126.9814089,175,45
37.47686327,126.9815951,185,45
37.47652283,126.9814089,185,45
37.49995131,126.9295592,124,26
37.50513853,126.953743,75,35
37.50487214,126.9533534,75,35
37.48288276,126.9753375,102,28
37.48351809,126.9746165,105,23
37.4948737,126.9585054,52,22
37.49752877,126.9529285,144,35
37.49901236,126.9254358,76,24
37.49547571,126.9546912,113,28
37.49622999,126.9170984,55,27
37.48682093,126.9742692,57,33
37.50446239,126.9379482,60,15
37.50318371,126.9482871,61,19
37.503107,126.9482871,61,19
37.49991005,126.9204894,140,39
37.49991005,126.9204894,40,150
37.49739896,126.9433414,63,18
37.49668419,126.9279538,118,32
37.49668419,126.9279085,118,32
37.5049713,126.9415313,24,40
37.51384162,126.9556049,83,55
37.50073875,126.9413748,64,26
37.48825931,126.9751885,60,17
37.49997455,126.9279121,110,30
37.50076829,126.9413748,64,26
37.51277879,126.9530641,82,40
37.51384811,126.9556049,82,40
37.5049713,126.9415132,24,40
37.50467452,126.9651139,52,27
37.50463725,126.9651139,52,27
37.48408142,126.9673507,140,19
37.50487214,126.953393,75,35
37.50513853,126.9537359,75,35
37.508264,126.9433353,38,22
37.50824932,126.9433353,38,22
37.48963929,126.971543,65,25
37.50150127,126.9411922,65,27
37.50150127,126.941164,65,27
37.50397929,126.9391917,67,26
37.50398148,126.9391917,67,26
37.49257855,126.9236102,92,38
37.49257855,126.9236102,95,37
37.50316562,126.958891,68,32
37.50751939,126.947767,90,30
37.49038547,126.9223202,110,45
37.49793187,126.9279051,75,27
37.50100435,126.9534758,55,20
37.51374292,126.940032,108,32
37.50677865,126.9689342,139,40
37.50600024,126.968808,139,40
37.48456084,126.9707658,116,34
37.50569805,126.9611548,70,27
37.50568008,126.9611112,70,27
37.50042906,126.9598634,70,28
37.51307998,126.9563034,100,42
37.50362942,126.9617326,71,26
37.51345929,126.9426645,102,38
37.50362942,126.9617326,16,27
37.51345929,126.9426033,102,38
37.51309964,126.9363271,113,38
37.51309964,126.936343,113,38
37.50874345,126.9245178,93,27
37.50568686,126.9611632,72,27
37.476256,126.9731866,118,42
37.50568686,126.9611309,72,27
37.476256,126.973192,118,42
37.5018649,126.9461315,31,23
37.50050836,126.941731,73,24
37.50054317,126.9417839,73,24
37.50362942,126.9617326,73,26
37.50898537,126.9292197,47,22
37.50896395,126.9292197,48,22
37.50042906,126.9598634,73,27
37.50825313,126.9635668,75,30
37.50825313,126.9635145,75,30
37.50276263,126.9233466,127,44
37.502752,126.9233466,127,44
37.48418982,126.979374,85,45
37.48418982,126.979369,85,45
37.506253,126.9613496,74,15
37.50624311,126.9613496,74,15
37.50316562,126.958891,74,25
37.50362942,126.9617326,74,25
37.49367007,126.9823614,30,25
37.5080021,126.9402652,76,24
37.50364704,126.9610489,77,23
37.47690406,126.9777876,83,22
37.50645892,126.951388,65,25
37.50735247,126.9515694,65,25
37.50737056,126.9515694,65,25
37.50579611,126.9334105,62,20
37.50571439,126.9334187,62,17
37.48562426,126.9816748,149,42
37.50077704,126.9465605,77,53
37.50045512,126.9451259,77,53
37.50034802,126.9446159,77,53
37.49960807,126.9601642,78,30
37.5088111,126.9614421,22,39
37.5088397,126.9618555,170,40
37.49960807,126.9601561,78,30
37.508886,126.961862,170,40
37.50869962,126.9616613,27,40
37.508699,126.961624,171,40
37.508816,126.9614421,171,40
37.508839,126.961472,80,40
37.51357356,126.9408265,80,23
37.50946359,126.960005,60,30
37.50946359,126.9600516,60,30
37.50946359,126.9600511,60,30
37.50946359,126.9600177,60,30
37.51375954,126.940361,108,32
37.51375954,126.9403063,108,32
37.50702932,126.958472,84,26
37.50702932,126.9584214,84,26
37.50472672,126.9538339,85,23
37.49931288,126.9439001,85,25
37.49931288,126.943905,85,25
37.49683535,126.9180932,85,30
37.50828224,126.9512914,128,20
37.494872,126.9611072,112,18
37.49489594,126.9611072,112,18
37.50763053,126.9495436,56,24
37.50763053,126.9495436,57,26
37.5050659,126.9462574,86,13
37.5050659,126.9462845,86,13
37.499621,126.9601642,86,24
37.49960807,126.9601642,86,24
37.50477097,126.952072,88,22
37.50477097,126.9520441,88,22
37.50241732,126.9345002,88,32
37.50241732,126.934539,88,32
37.49969269,126.9601642,90,20
37.49969941,126.9601642,90,20
37.48416007,126.972604,97,33
37.49891313,126.9251031,67,23
37.49930467,126.926335,28,17
37.48416007,126.9726605,97,33
37.48356873,126.977342,97,33
37.48356873,126.977345,97,33
37.501879,126.9461315,138,30
37.50495795,126.9388305,130,28
37.50510296,126.9533047,77,33
37.50510296,126.953387,77,33
37.49901236,126.9254495,76,24
37.49936561,126.9268253,21,24
37.51361237,126.9469439,100,40
37.51365953,126.9469439,100,40
37.50034802,126.9446159,73,13
37.4852085,126.9731479,56,24
37.49543678,126.9130162,74,18
